SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
512589,SITA ENTER. ,X ,Q,39.05,39.70,38.35,38.69,39.00,39.72,83,4464,172866.00,,INE579D01019,19-Jun-24,,
512591,PULSAR INTL.,X ,Q,13.62,13.62,12.15,12.40,12.40,12.39,429,170400,2164413.00,,INE183U01022,19-Jun-24,,
512595,MANBRO      ,XT,Q,837.75,837.75,837.75,837.75,837.75,854.80,6,82,68695.00,,INE348N01034,19-Jun-24,,
512597,KEYFINSER   ,T ,Q,176.00,176.10,171.00,175.95,175.95,175.00,16,1271,221316.00,,INE681C01015,19-Jun-24,,
512599,ADANI ENTER ,A ,Q,3310.55,3316.60,3226.30,3260.55,3264.50,3307.90,6636,61402,200253984.00,,INE423A01024,19-Jun-24,,
512604,HARIA EXPORT,X ,Q,5.04,5.04,5.04,5.04,5.04,5.30,7,317,1597.00,,INE772B01014,19-Jun-24,,
512608,BHANDARI HOS,B ,Q,7.95,8.30,7.94,8.11,8.11,8.74,908,334822,2709130.00,,INE474E01029,19-Jun-24,,
512618,RLF LIMITED.,X ,Q,9.06,9.32,8.57,9.09,9.09,8.88,50,16526,152970.00,,INE629C01014,19-Jun-24,,
512624,REGENTRP    ,X ,Q,4.55,4.55,4.27,4.38,4.41,4.50,118,39942,175817.00,,INE769D01016,19-Jun-24,,
512626,ORBIT EXPORT,B ,Q,180.40,185.95,176.40,184.00,184.25,180.40,238,7114,1283094.00,,INE231G01010,19-Jun-24,,
512634,SAVERA IND  ,X ,Q,121.90,123.00,118.70,119.00,118.75,119.35,97,6485,776666.00,,INE104E01014,19-Jun-24,,
513005,CHROME      ,X ,Q,43.90,43.90,39.55,40.50,40.50,40.97,193,1728,70664.00,,INE114E01013,19-Jun-24,,
513023,NAVA        ,A ,Q,700.00,728.00,696.80,723.25,722.65,697.25,1622,52916,37588608.00,,INE725A01022,19-Jun-24,,
513043,REMI EDEL   ,X ,Q,93.40,93.40,82.70,87.50,87.95,91.90,134,10407,902003.00,,INE158G01015,19-Jun-24,,
513059,G.S.AUTO INT,X ,Q,36.99,37.50,36.05,37.03,37.30,36.56,49,5421,200165.00,,INE736H01024,19-Jun-24,,
513063,TRANSFREIGHT,X ,Q,32.31,37.90,32.31,34.86,34.40,34.90,98,15202,549019.00,,INE360D01014,19-Jun-24,,
513097,SHIV.BIMETAL,A ,Q,549.90,549.90,529.00,529.95,530.40,530.90,1001,7056,3754284.00,,INE386D01027,19-Jun-24,,
